ATLAS Name,RA (degrees),Dec (degrees),A_g,A_r,A_i
ATLAS18tfh,206.663252,-9.643337,0.188,0.13,0.097
ATLAS18tht,243.586174,3.231973,0.215,0.148,0.11
ATLAS18tmf,275.659052,15.696603,0.651,0.45,0.334
ATLAS18tvh,257.54654,21.649087,0.2,0.139,0.103
ATLAS18twh,308.271814,-20.856775,0.146,0.101,0.075
ATLAS18twl,77.889408,-21.269519,0.121,0.083,0.062
ATLAS18tzu,18.825431,-6.859035,0.226,0.157,0.116
ATLAS18uag,351.317423,13.934074,0.156,0.108,0.08
ATLAS18uca,13.845262,30.487512,0.213,0.147,0.109
ATLAS18ucm,239.548772,19.765246,0.132,0.091,0.068
ATLAS18ucy,303.124896,-44.109936,0.154,0.107,0.079
ATLAS18ucz,96.158324,-23.733041,0.184,0.127,0.095
ATLAS18udk,359.928386,34.344458,0.229,0.158,0.118
ATLAS18udq,2.36062,47.354079,0.36,0.249,0.185
ATLAS18uef,204.01578,66.30122,0.095,0.066,0.049
ATLAS18ugc,32.906001,34.04191,0.325,0.225,0.167
ATLAS18ujx,309.365699,-37.721366,0.139,0.096,0.071
ATLAS18ukf,72.477315,-41.938127,0.053,0.037,0.027
ATLAS18ukg,29.431267,35.909756,0.288,0.199,0.148
ATLAS18ukx,12.350779,-20.432595,0.072,0.05,0.037
ATLAS18uxb,315.630363,-5.624993,0.191,0.132,0.098
ATLAS18van,42.032083,21.528629,1.1,0.761,0.565
ATLAS18vft,104.614699,-28.7635,0.491,0.34,0.253
ATLAS18vio,228.546613,-14.349806,0.449,0.311,0.231
ATLAS18vis,34.064903,28.591293,0.291,0.201,0.149
ATLAS18vlu,46.729772,41.509089,0.489,0.338,0.252
ATLAS18voc,66.262553,-14.613279,0.216,0.149,0.111
ATLAS18voe,62.298105,8.647403,0.848,0.587,0.436
ATLAS18vrd,346.885591,23.005805,0.758,0.524,0.39
ATLAS18vre,84.195513,-22.410966,0.1,0.069,0.051
ATLAS18vrq,277.033885,34.304284,0.207,0.143,0.106
ATLAS18vrr,144.622134,76.319922,0.103,0.071,0.053
ATLAS18vtr,43.900127,43.057579,0.429,0.297,0.221
ATLAS18vts,117.790156,62.086688,0.188,0.13,0.097
ATLAS18vyq,354.880162,-3.148647,0.142,0.098,0.073
ATLAS18wbz,66.704071,29.952294,1.512,1.046,0.777
ATLAS18wrq,43.953879,1.07848,0.303,0.21,0.156
ATLAS18wtk,44.08864,-32.185741,0.072,0.05,0.037
ATLAS18wtl,75.192391,-29.858954,0.056,0.038,0.029
ATLAS18wwq,51.23159,-2.822149,0.187,0.13,0.096
ATLAS18xaz,249.065708,66.24025,0.08,0.056,0.041
ATLAS18xml,54.867122,-13.117329,0.18,0.125,0.093
ATLAS18xnd,332.2071,38.151378,0.401,0.277,0.206
ATLAS18xor,115.76943,50.289615,0.226,0.156,0.116
ATLAS18xsq,133.234096,42.41292,0.091,0.063,0.047
ATLAS18xsr,140.823685,42.380138,0.057,0.04,0.03
