ATLAS Name,RA (degrees),Dec (degrees)
ATLAS20hhk,234.452157,38.146474
ATLAS20hid,239.679542,26.819354
ATLAS20hje,232.623754,-12.601804
ATLAS20hjf,204.987807,0.828192
ATLAS20hmy,201.813317,32.03362
ATLAS20hth,74.783533,4.97271
ATLAS20hwj,200.915236,-16.645738
ATLAS20hxn,296.185142,-28.386912
ATLAS20hzl,251.188124,22.513304
ATLAS20ier,185.536561,6.099743
ATLAS20iey,135.9491,29.159281
ATLAS20onj,165.747785,-16.292134
ATLAS20onk,164.245184,43.076817
ATLAS20oon,264.202761,13.294237
